"lang"
{
"Language" "German"
"Tokens"
{
// ----------------------------------------------------------------
// Chat
// ----------------------------------------------------------------

// Channels
"Channel_All"			"ALLE"
"Channel_Team"			"TEAM"
"Switch_All"			"(TAB-Taste: ALLE-Chat)"
"Switch_Team"			"(TAB-Taste: TEAM-Chat)"

// Chat Prefixes
"Chat_All"				"%s1: %s2"
"Chat_All_Dead"			"*TOT* %s1: %s2"
"Chat_All_Spec"			"*ZUSCHAUER* %s1 : %s2"
"Chat_Team"				"(TEAM) %s1: %s2"
"Chat_Team_Loc"			"(TEAM) %s1 @ %s3: %s2"
"Chat_Team_Dead"		"(TEAM) *TOT* %s1: %s2"
"Chat_Team_Spec"		"(TEAM) *ZUSCHAUER* %s1: %s2"
"Chat_All_Dev"			"[ENTW.] %s1: %s2"
"Chat_All_Dev_Dead"		"*TOT* [ENTW.] %s1: %s2"
"Chat_All_Dev_Spec"		"*ZUSCHAUER* [ENTW.] %s1: %s2"
"Chat_Team_Dev"			"(TEAM) [ENTW.] %s1: %s2"
"Chat_Team_Dev_Loc"		"(TEAM) [ENTW.] %s1 @ %s3: %s2"
"Chat_Team_Dev_Dead"	"(TEAM) *TOT* [ENTW.] %s1: %s2"
"Chat_Team_Dev_Spec"	"(TEAM) *ZUSCHAUER* [ENTW.] %s1: %s2"
"Chat_Voice"			"(SPRACHE) "

// Chat Filters
"Chat_Filter_Voice"		"Sprachbefehle"

// ----------------------------------------------------------------
// General
// ----------------------------------------------------------------

// Sentry consent popup
"TF_SentryReport_Title"			"Fehlermeldungen senden?"
"TF_SentryReport_Message"		"Möchten Sie das Senden von anonymen Fehlermeldungen an das Team Fortress 2 Classified-Team erlauben?"

// VIP voting
"Vote_ChangeCivilian"				"VIP wechseln"
"TF_vote_change_civilian"			"Spieler %s1 zum VIP auserwählen?"
"TF_vote_change_civilian_caller"	"Spieler %s1 möchte zum VIP werden."
"TF_vote_passed_change_civilian"	"Der VIP wird Spieler: %s1 sein..."

// ----------------------------------------------------------------
// Teams
// ----------------------------------------------------------------

"TF_GreenTeam" 	"&5 GRN"
"TF_YellowTeam" "&6 YLW"

"TF_GreenTeam_Name"		"GRN"
"TF_YellowTeam_Name"	"YLW"

"TF_Other_Name"	"ANDERE"

// Disguise Kit global disguise
"Hud_Menu_Disguise_GlobalTeam"	"Polyperspekt. Verkleidung: Alle Feinde werden Sie als Teil ihres eigenen Teams betrachten."

// ----------------------------------------------------------------
// Classes
// ----------------------------------------------------------------

"TF_Special"	"SPEZIELL"

// Civilian
"TF_Civilian" 				"CIVILIAN"
"TF_Class_Name_Civilian" 	"Civilian"

"ClassTips_10_Count"	"3"
"ClassTips_10_1"		"Teammitglieder einen Boost geben, um ihnen einen Vorteil im Kampf zu verschaffen!"
"ClassTips_10_1_Icon"	"chalf_circle"
"ClassTips_10_2"		"Bei Teammitgliedern bleiben, um ihnen Schadensresistenz und Selbstheilung zu geben!"
"ClassTips_10_2_Icon"	"chalf_circle"
"ClassTips_10_3"		"Seien Sie im Kampf hilflos!"
"ClassTips_10_3_Icon"	"chalf_circle"

// ----------------------------------------------------------------
// Target ID
// ----------------------------------------------------------------

// General
"TF_playerid_sameteam"					"%s1 %s2"
"TF_playerid_diffteam"					"feindlicher %s1 %s2"
"TF_playerid_noteam"					"%s1"
"TF_playerid_friendlyspy_disguise"		"Verkleidet als %s1 %s2"
"TF_playerid_wpn_ammo_clip"				"%s1  -  Muni: %s2 (%s3)"
"TF_playerid_wpn_ammo"					"%s1  -  Muni: %s2"
"TF_playerid_wpn"						"%s1"

// Boosts
"TF_playerid_healer"					"Heiler: "
"TF_playerid_healtarget"				"Heilung: "
"TF_playerid_mediccharge"				"Überladung: %s1%"
"TF_playerid_mediccharge_wpn"			"%s1  -  Überladung: %s2%"
"TF_playerid_civiliancharge"			"Boost: %s1%"

// Buildings
"TF_playerid_object"					"%s1 gebaut von %s2"
"TF_playerid_object_diffteam"			"%s1 gebaut vom Gegner %s2"
"TF_playerid_object_mini"				"Mini-%s1 gebaut von %s2"
"TF_playerid_object_mode"				"%s1 %s3 gebaut von %s2"
"TF_playerid_object_level"				"Level %s1"
"TF_playerid_object_upgrade"			"Upgrade-Fortschritt: %s1"
"TF_playerid_object_upgrade_level"		"Level %s1  -  Upgrade-Fortschritt: %s2"
"TF_playerid_object_upgrading"			"Wird upgegradet..."
"TF_playerid_object_upgrading_level"	"Level %s1  -  Wird upgegradet..."
"TF_playerid_object_building"			"Wird gebaut..."
"TF_playerid_object_building_level"		"Level %s1  -  Wird gebaut..."
"TF_playerid_teleporter_no_entrance"	"  -  Kein Eingang-Teleporter"
"TF_playerid_teleporter_no_exit"		"  -  Kein Ausgang-Teleporter"
"TF_playerid_object_recharging"			"  -  Neu laden: %s1%"
"TF_playerid_object_inactive"			"Inaktiv"
"TF_playerid_object_ready"				"Bereit"
"TF_playerid_object_flooded"			"Überflutet"
"TF_playerid_carrying"					"Gebäude: %s1"
"TF_playerid_carrying_lvl"				"Gebäude: %s1 (Level %s2)"

"TF_friendly"	"verbündeter"
"TF_enemy"		"gegnerischer"

// ----------------------------------------------------------------
// Respawning
// ----------------------------------------------------------------

"game_respawntime_now"			"Spawnen vorbereiten"
"game_respawntime_in_sec"		"Erneut spawnen in: 1 Sekunde"
"game_respawntime_in_secs"		"Erneut spawnen in: %s1 Sekunden"
"game_respawntime_stalemate"	"Kein erneutes Spawnen im Endkampf"
"game_respawntime_next_round"	"Erneut spawnen: Nächste Runde"
"TF_Arena_NoRespawning"			"Erneutes Spawnen nicht möglich"

// ----------------------------------------------------------------
// Kill feed
// ----------------------------------------------------------------

"DeathMsg_KilledVIP"		"hat den VIP getötet!"
"DeathMsg_KilledTeamVIP"	"hat den %s1 VIP getötet!"

"DeathMsg_ComboKill"	"KOMBO-KILL!"
"DeathMsg_AirshotKill"	"IN LUFT GETROFFEN!"

// Custom suicides
"DeathMsg_Suicide_Boioing"		"ist abgehoben!"
"DeathMsg_Suicide_Stomp"		"erlebte hohe Schwerkraft"
"DeathMsg_Suicide_Disintegrate"	"wurde zu Schutt und Asche"
"DeathMsg_Suicide_Decapitate"	"hat den Kopf verloren"
"DeathMsg_Suicide_Gold"			"wurde zu Gold"
"DeathMsg_Suicide_Freeze"		"hat's eiskalt erwischt"
"DeathMsg_Suicide_Fizzle"		"wurde elektrifiziert!"
"DeathMsg_Suicide_Disappear"	"ist verschwunden"

// ----------------------------------------------------------------
// Voice Menu
// ----------------------------------------------------------------

"Voice_Menu_ChargeReady"				"(MEDIC) Überladung-Status"
"Voice_Menu_ChargeReadySubtitle"		"Überladung bereit! (100%)"
"Voice_Menu_ChargeAlmostReadySubtitle"	"Überladung fast bereit (%s1%)"
"Voice_Menu_ChargeNotReadySubtitle"		"Überladung noch nicht bereit! (%s1%)"

// ----------------------------------------------------------------
// Class tips
// ----------------------------------------------------------------

// Scout
"Tip_1_Count"	"10"
// Generic
"Tip_1_1"		"Als Scout entgehen Sie feindlichem Beschuss, indem Sie beim Springen die Richtung ändern."
"Tip_1_2"		"Als Scout erobern Sie Kontrollpunkte und schieben die Frachtlore doppelt so schnell wie andere Klassen."
"Tip_1_3"		"Als Scout sind Sie die schnellste Klasse. Lenken Sie die Aufmerksamkeit der gefährlichen Klassen auf sich und dann hauen Sie ab!"
// Stock
"Tip_1_4"		"Als Scout fügt Ihre Scattergun auf kurze Entfernungen großen Schaden zu und kann die meisten Klassen dabei mit 2 Schüssen erledigen."
"Tip_1_5"		"Als Scout eignet sich Ihre Pistole hervorragend dafür, Gegnern aus größerer Distanz Schaden zuzufügen."
"Tip_1_6"		"Als Scout richtet Ihr Schläger weniger Schaden an als normale Nahkampfwaffen, schwingt aber viel schneller."
// Death & Taxes
"Tip_1_7"		"Als Scout verursacht Ihre Nagelpistole auch aus größeren Distanz ordentlich Schaden. Bleiben Sie in Bewegung und zielen Sie etwas über Ihr Ziel, um Treffer zu landen."
"Tip_1_8"		"Mit der Nagelpistole können Sie als Scout die Sentryguns mit links zerstören. Perfekt geeignet, wenn Sie mit mehreren Sentryguns konfrontiert sind."
// Fight or Flight
"Tip_1_9"		"Als Scout verursacht der Ziegelstein einen starken Rückstoß und Schaden. Lass die Vollspasten fliegen!"
"Tip_1_10"		"Als Scout verursacht der Ziegelstein einen Mini-Krit aus großer Entfernung."

// Sniper
"Tip_2_Count"	"11"
// Generic
"Tip_2_1"		"Zielen Sie als Sniper auf Köpfe für kritische Treffer."
"Tip_2_2"		"Als Sniper können Sie mit %attack2% mit Ihrem Gewehr zoomen oder Ihren Jagdrevolver spähen."
// Stock
