"lang"
{
"Language" "Polish"
"Tokens"
{
// ----------------------------------------------------------------
// Chat
// ----------------------------------------------------------------

// Channels
"Channel_All"		"OGÓLNY"
"Channel_Team"		"DRUŻYNOWY"
"Switch_All"		"(TAB, by przełączyć na DRUŻYNOWY)"
"Switch_Team"		"(TAB, by przełączyć na OGÓLNY)"

// Chat Prefixes
"Chat_All"				"%s1: %s2"
"Chat_All_Dead"			"*NIE ŻYJE* %s1: %s2"
"Chat_All_Spec"			"*WIDZ* %s1 : %s2"
"Chat_Team"				"(DRUŻYNA) %s1: %s2"
"Chat_Team_Loc"			"(DRUŻYNA) %s1 @ %s3: %s2"
"Chat_Team_Dead"		"(DRUŻYNA) *NIE ŻYJE* %s1: %s2"
"Chat_Team_Spec"		"(DRUŻYNA) *WIDZ* %s1: %s2"
"Chat_All_Dev"			"[DEV] %s1: %s2"
"Chat_All_Dev_Dead"		"*NIE ŻYJE* [DEV] %s1: %s2"
"Chat_All_Dev_Spec"		"*WIDZ* [DEV] %s1: %s2"
"Chat_Team_Dev"			"(DRUŻYNA) [DEV] %s1: %s2"
"Chat_Team_Dev_Loc"		"(DRUŻYNA) [DEV] %s1 @ %s3: %s2"
"Chat_Team_Dev_Dead"	"(DRUŻYNA) *NIE ŻYJE* [DEV] %s1: %s2"
"Chat_Team_Dev_Spec"	"(DRUŻYNA) *WIDZ* [DEV] %s1: %s2"
"Chat_Voice"			"(GŁOS) "

// Chat Filters
"Chat_Filter_Voice"		"Komendy głosowe"

// ----------------------------------------------------------------
// General
// ----------------------------------------------------------------

// Sentry consent popup
"TF_SentryReport_Title"			"Przesyłać raporty o błędach?"
"TF_SentryReport_Message"		"Zezwolić na przesyłanie anonimowych raportów o błędach do zespołu Team Fortress 2 Classified?"

// VIP voting
"Vote_ChangeCivilian"				"Zmień VIP-a"
"TF_vote_change_civilian"			"Wybrać gracza %s1 na VIP-a?"
"TF_vote_change_civilian_caller"	"Gracz %s1 chce zostać VIP-em."
"TF_vote_passed_change_civilian"	"VIP-em zostanie gracz: %s1..."

// ----------------------------------------------------------------
// Teams
// ----------------------------------------------------------------

"TF_GreenTeam" 				"&5 GRN"
"TF_YellowTeam" 			"&6 YLW"

"TF_GreenTeam_Name"			"GRN"
"TF_YellowTeam_Name"		"YLW"

"TF_Other_Name"				"POZOSTAŁE"

// Disguise Kit global disguise
"Hud_Menu_Disguise_GlobalTeam"		"Globalne przebranie: każdy wróg będzie cię widział jako członka swojej drużyny."

// Autobalance
"TF_teamswitch_green"				"Jesteś teraz w drużynie GRN!"
"TF_teamswitch_yellow"				"Jesteś teraz w drużynie YLW!"

// Chat Printouts
"TF_Team_Balanced"					"Gracz %s1 został przeniesiony do drużyny %s2"
"TF_Autobalance_TeamChangeDone"		"Przeniesiono cię do drużyny %s1"
"TF_Name_Change"					"* %s1 zmienia pseudonim na %s2"
"TF_Joined_Game"					"Gracz %s1 dołączył do gry"
"TF_Left_Game"						"Gracz %s1 opuścił grę (%s2)"
"TF_Joined_Team"					"Gracz %s1 dołączył do drużyny %s2"
"TF_Joined_AutoTeam" 				"Gracz %s1 został automatycznie przydzielony do drużyny %s2"
"TF_AutoBalanced"					"Gracz %s1 został przeniesiony do drużyny %s2 dla zrównoważenia rozgrywki"
"TF_AutoBalance_Warning"			"Wykryto brak balansu drużyn"

// ----------------------------------------------------------------
// Classes
// ----------------------------------------------------------------

"TF_Special"				"SPECJALNE"

// Civilian
"TF_Civilian" 				"CYWIL"
"TF_Class_Name_Civilian" 	"Cywil"

"ClassTips_10_Count"	"3"
"ClassTips_10_1"			"Wzmocnij sojusznika, by zapewnić mu przewagę w walce!"
"ClassTips_10_1_Icon"		"chalf_circle"
"ClassTips_10_2"			"Trzymaj się blisko sojuszników, by zapewnić im odporność na obrażenia oraz pasywne leczenie!"
"ClassTips_10_2_Icon"		"chalf_circle"
"ClassTips_10_3"			"Bądź bezradny w walce!"
"ClassTips_10_3_Icon"		"chalf_circle"

// ----------------------------------------------------------------
// Target ID
// ----------------------------------------------------------------

// General
"TF_playerid_sameteam"				"%s1%s2"
"TF_playerid_diffteam"				"%s1(Wróg) %s2"
"TF_playerid_noteam"				"%s1"
"TF_playerid_friendlyspy_disguise"	"Przebrany (%s1 %s2)"
"TF_playerid_wpn_ammo_clip"			"%s1  -  Amunicja: %s2 (%s3)"
"TF_playerid_wpn_ammo"				"%s1  -  Amunicja: %s2"
"TF_playerid_wpn"					"%s1"

// Boosts
"TF_playerid_healer"				"(Leczący) "
"TF_playerid_healtarget"			"(Leczysz) "
"TF_playerid_mediccharge"			"ÜberCharge: %s1%"
"TF_playerid_mediccharge_wpn"		"%s1  -  ÜberCharge: %s2%"
"TF_playerid_civiliancharge"		"Wzmocnienie: %s1%"
"TF_playerid_civiliancharge_wpn"	"%s1 - Wzmocnienie: %s2%"

// Buildings
"TF_playerid_object"					"%s1 (%s2)"
"TF_playerid_object_diffteam"			"Wróg %s1 (%s2)"
"TF_playerid_object_mini"				"Mini-%s1 (%s2)"
"TF_playerid_object_mode"				"%s1 %s3 (%s2) "
"TF_playerid_object_level"				"Poziom %s1."
"TF_playerid_object_upgrade"			"Postęp ulepszania: %s1"
"TF_playerid_object_upgrade_level"		"Poziom %s1.  -  Postęp ulepszania: %s2"
"TF_playerid_object_upgrading"			"Ulepszanie..."
"TF_playerid_object_upgrading_level"	"Poziom %s1.  -  Ulepszanie..."
"TF_playerid_object_building"			"Budowanie..."
"TF_playerid_object_building_level"		"Poziom %s1.  -  Budowanie..."
"TF_playerid_teleporter_no_entrance"	"  -  Brak wejścia teleportu"
"TF_playerid_teleporter_no_exit"		"  -  Brak wyjścia teleportu"
"TF_playerid_object_recharging"			"  -  Ponowne ładowanie: %s1%"
"TF_playerid_object_flooded"			"Pod wodą"
"TF_playerid_carrying"					"Przenoszenie: %s1"
"TF_playerid_carrying_lvl"				"Przenoszenie: %s1 (Poziom %s2.)"

"TF_friendly"							"sojusznik"
"TF_enemy"								"wróg"

// ----------------------------------------------------------------
// Respawning
// ----------------------------------------------------------------

"game_respawntime_now"			"Przygotuj się na odrodzenie"
"game_respawntime_in_sec"		"Odrodzenie za: 1 sekundę"
"game_respawntime_in_secs"		"Odrodzenie za: %s1 sekund"
"game_respawntime_stalemate"	"Brak odrodzenia w nagłej śmierci"
"game_respawntime_next_round"	"Odrodzenie w następnej rundzie"
"TF_Arena_NoRespawning"			"Brak odrodzenia w trybie Arena"

// ----------------------------------------------------------------
// Kill feed
// ----------------------------------------------------------------

"DeathMsg_KilledVIP"			"zabił VIP-a!"
"DeathMsg_KilledTeamVIP"		"zabił VIP-a drużyny %s1!"

"DeathMsg_VIP"					"VIP"
"DeathMsg_ComboKill"			"KOMBO!"
"DeathMsg_AirshotKill"			"TRAFIONY W POWIETRZU!"

// Custom suicides
"DeathMsg_Suicide_Boioing"			"odleciał!"
"DeathMsg_Suicide_Stomp"			"poznał siłę grawitacji!"
"DeathMsg_Suicide_Disintegrate"		"poszedł z dymem!"
"DeathMsg_Suicide_Decapitate"		"stracił kończyny!"
"DeathMsg_Suicide_Gold"				"natknął się na złoto!"
"DeathMsg_Suicide_Freeze"			"zamienił się w sopel!"
"DeathMsg_Suicide_Fizzle"			"został porażony prądem!"
"DeathMsg_Suicide_Disappear"		"zniknął!"

// ----------------------------------------------------------------
// Voice Menu
// ----------------------------------------------------------------

"Voice_Menu_ChargeReady"				"(MEDYK) Stan ÜberCharge"
"Voice_Menu_ChargeReadySubtitle"		"ÜberCharge gotowy! (100%)"
"Voice_Menu_ChargeAlmostReadySubtitle"	"ÜberCharge prawie gotowy (%s1%)"
"Voice_Menu_ChargeNotReadySubtitle"		"ÜberCharge niegotowy! (%s1%)"

// ----------------------------------------------------------------
// Class tips
// ----------------------------------------------------------------

// Scout
"Tip_1_Count"	"10"
// Generic
"Tip_1_1"		"Możesz wykonać podwójny skok w powietrzu, by szybko zmienić kierunek."
"Tip_1_2"		"Przejmujesz punkty kontrolne dwukrotnie szybciej niż inne klasy."
"Tip_1_3"		"Przewyższasz szybkością wszystkie inne klasy. Przyciągnij uwagę wroga i błyskawicznie uciekaj!"
// Stock
"Tip_1_4"		"Dubeltówka jest śmiertelna z bliskiej odległości. Zmniejsz dystans między sobą a wrogami, by zadać im duże obrażenia."
"Tip_1_5"		"Pistolet świetnie nadaje się do likwidowania wrogów z dużej odległości."
"Tip_1_6"		"Kij zadaje mniej obrażeń niż inne bronie do walki wręcz, lecz pozwala na szybsze zamachy."
// Death & Taxes
"Tip_1_7"		"Gwoździarka zadaje spore obrażenia, nawet z daleka. Pozostań w ruchu i strzelaj po łuku."
